lat,lon,hae,droneLatitude,droneLongitude,droneElevationHAE,cameraRollAngleDeg,cameraSlantAngleDeg,raySlantAngleDeg,make,model,isCameraModelRecognized,lensType,k1,k2,k3,p1,p2,focalLength,digitalZoomRatio,imageWidth,imageLength,f_x,f_y,azimuthOffsetUserCorrection,imageSelectedProportionX,imageSelectedProportionY,yawOffsetDegSelectedPoint,pitchOffsetDegSelectedPoint,slantRange
31.603404017055933,-110.4337728685308,1465.0725641449094,31.603577,-110.433489,1523.342097,-0.146274,66.764267,60.423160090616875,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.93193,0.33028,19.836921,6.341107,67.015023
31.60341972594768,-110.43367097859982,1464.2436783061426,31.603577,-110.433489,1523.342097,-0.146274,66.764267,67.4302215768522,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.710346,0.516769,10.001124,-0.665955,64.008678
31.603532132062167,-110.43354182368698,1464.767025360247,31.603577,-110.433489,1523.342097,-0.146274,66.764267,83.11933353867047,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.722735,0.942508,10.49776,-16.355067,59.000779
31.603120877103024,-110.43367576783614,1465.2922582800127,31.603529,-110.433528,1523.324396,-0.162831,66.756707,50.692911169658544,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.123712,0.064763,-17.360696,16.063796,75.027697
31.603263818734003,-110.43389493117388,1466.3143404740827,31.603529,-110.433528,1523.324396,-0.162831,66.756707,51.34852589776629,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.824453,0.081214,15.185022,15.408181,73.026204
31.60339625900908,-110.43375163082253,1464.7666172944646,31.603529,-110.433528,1523.324396,-0.162831,66.756707,66.20079915384868,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.950914,0.483652,20.62725,0.555908,64.009592
31.60340866607415,-110.43376272019829,1464.4462065008788,31.603641,-110.433445,1523.326029,-0.126688,66.813307,56.02620843112026,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.974811,0.209808,21.624628,10.787099,71.020406
31.60341905294643,-110.4336594288289,1464.4478023373952,31.603641,-110.433445,1523.326029,-0.126688,66.813307,61.49548409082208,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.747489,0.35894,11.722622,5.317823,67.014044
31.60353802818184,-110.43354150738908,1464.113045144221,31.603641,-110.433445,1523.326029,-0.126688,66.813307,76.09717893708155,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.729727,0.745833,10.871332,-9.283872,61.003242
31.603569401048237,-110.43348687064028,1463.9895113460939,31.603641,-110.433445,1523.326029,-0.126688,66.813307,81.47140032870558,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.474488,0.894539,-1.250129,-14.658093,60.001215
